title,description,Specification,volumes,subtitle,image
Gazpromneft  Motor  Oil  50,"Gazpromneft  Motor  Oil  primarily  intended  for  use  in  gasoline  automotive  engines  of  passenger  cars,commercial  vehicles  and  farm  equipment.  They’ve  effective  balance  of  detergents  and  dispersants  to  minimize  the  formation  of  sludge  and  deposits,retain  alkalinity  and  reduce  wear.  Specially  engineered  for  hot  climate  conditions.","API  CA,API  SC","1  l,



4  l,



5  l,



20  l,
205  l",Passenger  Vehicle  Engine  Oils,/render/storage/d2/c4/c1c05b777b6427164838323bf7b0dbb7b8ba19dd.png
Gazpromneft  Motor  Oil  40,"Gazpromneft  Motor  Oil  primarily  intended  for  use  in  gasoline  automotive  engines  of  passenger  cars,commercial  vehicles  and  farm  equipment.  They’ve  effective  balance  of  detergents  and  dispersants  to  minimize  the  formation  of  sludge  and  deposits,retain  alkalinity  and  reduce  wear.  Specially  engineered  for  hot  climate  conditions.","API  CA,

API  SC","1  l,



4  l,



5  l,



20  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/4d/cf/f605efaab9396ddda327ba3cca768c00e594cab6.png
Gazpromneft  Standard  20W-50,"Gazpromneft  Standard  oils  are  high  quality  mineral  engine  lubricants  providing  reliable  protection  under  a  wide  variety  of  operating  conditions.  They  contain  an  effective  balance  of  detergents  and  dispersants  to  minimize  the  formation  of  sludge  and  deposits,retain  alkalinity  and  reduce  wear.","API  CC,

ПАО  ""АВТОВАЗ"",

API  SF","1  l,



4  l,



5  l,



20  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/2c/0c/5c64becdb0f2f2092a58038e3d97e13666ac5d69.png
Gazpromneft  Standard  15W-40,"Gazpromneft  Standard  oils  are  high  quality  mineral  engine  lubricants  providing  reliable  protection  under  a  wide  variety  of  operating  conditions.  They  contain  an  effective  balance  of  detergents  and  dispersants  to  minimize  the  formation  of  sludge  and  deposits,retain  alkalinity  and  reduce  wear.","API  CC,

ПАО  ""АВТОВАЗ"",

API  SF","1  l,



4  l,



5  l,



20  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/a4/1c/996db60920f34b93cc609d58db9e8a3ac5751b7f.png
Gazpromneft  Standard  10W-40,"Gazpromneft  Standard  oils  are  high  quality  mineral  engine  lubricants  providing  reliable  protection  under  a  wide  variety  of  operating  conditions.  They  contain  an  effective  balance  of  detergents  and  dispersants  to  minimize  the  formation  of  sludge  and  deposits,retain  alkalinity  and  reduce  wear.","API  CC,

ПАО  ""АВТОВАЗ"",

API  SF","1  l,



4  l,



5  l,



20  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/6c/e7/781c9c887a9a63265db53f1b2b561758a3f563bd.png
Gazpromneft  Super  15W-40,"Gazpromneft  Super  are  high  performance  engine  oils  designed  to  provide  high  level  of  protection  and  performance.  Gazpromneft  Super  oils  are  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  resistance  to  lubricant  breakdown  caused  by  high  temperature  oxidation  and  good  wear  control,thus  extending  the  life  of  the  engine.  They  also  deliver  excellent  cold  start  performance  in  low  ambient  temperatures.","API  CD,

API  SG,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/d6/a3/ef819a1b3c45e25a38cf1ebce74902f7bcc6addd.png
Gazpromneft  Super  10W-40,"Gazpromneft  Super  are  high  performance  engine  oils  designed  to  provide  high  level  of  protection  and  performance.  Gazpromneft  Super  oils  are  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  resistance  to  lubricant  breakdown  caused  by  high  temperature  oxidation  and  good  wear  control,thus  extending  the  life  of  the  engine.  They  also  deliver  excellent  cold  start  performance  in  low  ambient  temperatures.","API  CD,

API  SG,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l,



20  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/89/f7/ec6ac6d13a84738678e28fdd11bcc3072671d622.png
Gazpromneft  Super  10W-30,Gazpromneft  Super  are  high  performance  engine  oils  designed  to  provide  high  level  of  protection  and  performance.  Gazpromneft  Super  oils  are  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  resistance  to  lubricant  breakdown  caused  by  high  temperature  oxidation  a,"API  CD,

API  SG,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



5  l",Passenger  Vehicle  Engine  Oils,/render/storage/1d/04/676e507a85d99763d8809aefe82a58c5a2705427.png
Gazpromneft  Super  5W-40,"Gazpromneft  Super  are  high  performance  engine  oils  designed  to  provide  high  level  of  protection  and  performance.  Gazpromneft  Super  oils  are  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  resistance  to  lubricant  breakdown  caused  by  high  temperature  oxidation  and  good  wear  control,thus  extending  the  life  of  the  engine.  They  also  deliver  excellent  cold  start  performance  in  low  ambient  temperatures.","API  CD,

API  SG,

ПАО  ""АВТОВАЗ""","1  l,



4  l,



50  l,



205  l",Passenger  Vehicle  Engine  Oils,/render/storage/20/60/7bbe8a63720405165db9ff5945f777a7a07daabf.png
Gazpromneft  Super  5W-30,"Gazpromneft  Super  are  high  performance  engine  oils  designed  to  provide  high  level  of  protection  and  performance.  Gazpromneft  Super  oils  are  formulated  with  the  use  of  synthetic  technology  and  advanced  additive  system  to  provide  resistance  to  lubricant  breakdown  caused  by  high  temperature  oxidation  and  good  wear  control,thus  extending  the  life  of  the  engine.  They  also  deliver  excellent  cold  start  performance  in  low  ambient  temperatures.","API  CD,

API  SG,

ПАО  ""АВТОВАЗ""",205  l,Passenger  Vehicle  Engine  Oils,/render/storage/9a/d0/5b4aeb208c25c6515483bda85a44a7015acdbc05.png
